,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__n_neighbors,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,139.3534278869629,0.4945507049560547,6.342967629432678,0.0186539888381958,1,auto,True,True,1.0,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.1994625570547996,-2.299953242742821,-2.2497078998988105,0.05024534284401061,199,-0.293953119010728,-0.22485325413238383,-0.2594031865715559,0.03454993243917209
1,447.1977205276489,4.744704246520996,9.564987301826477,0.9105542898178101,1,auto,True,True,1.0,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.9475404763579764,-2.3059117860387888,-2.1267261311983825,0.17918565484040616,115,-0.2688798998022265,-0.24041844794970513,-0.2546491738759658,0.014230725926260679
2,677.5989624261856,7.237404227256775,8.758147478103638,0.274639368057251,1,auto,True,True,1.0,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.250357150509063,-2.7579252342914806,-2.504141192400272,0.25378404189120873,259,-0.21664442289937041,-0.27298712578630324,-0.24481577434283683,0.028171351443466414
3,121.71904873847961,7.362501382827759,9.200599074363708,0.5929216146469116,1,auto,True,True,1.0,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.936741578967418,-2.2662718320128414,-2.10150670549013,0.1647651265227117,93,-0.29477041707899276,-0.18720355968486607,-0.24098698838192942,0.053783428697063346
4,153.7472344636917,1.4619654417037964,9.044729948043823,0.26537489891052246,1,auto,True,True,1.0,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.9424046056183015,-2.2087932479883747,-2.0755989268033384,0.1331943211850366,69,-0.2579456756430731,-0.20947430629205077,-0.23370999096756193,0.024235684675511154
5,60.50251638889313,23.45315682888031,11.577821373939514,0.800049901008606,1,auto,True,True,1.0,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.3010018582678176,-2.0470064573748488,-2.1740041578213334,0.1269977004464844,151,-0.15076842827767417,-0.07969295372802206,-0.1152306910028481,0.03553773727482606
6,138.67734217643738,0.23088312149047852,6.069360613822937,0.030155539512634277,1,auto,True,True,0.8,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.1994625570547996,-2.299953242742821,-2.2497078998988105,0.05024534284401061,199,-0.293953119010728,-0.22485325413238383,-0.2594031865715559,0.03454993243917209
7,444.1893290281296,1.6967824697494507,9.817376017570496,0.3225916624069214,1,auto,True,True,0.8,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.9475404763579764,-2.3059117860387888,-2.1267261311983825,0.17918565484040616,115,-0.2688798998022265,-0.24041844794970513,-0.2546491738759658,0.014230725926260679
8,726.8654000759125,11.665516138076782,11.685366868972778,0.31765222549438477,1,auto,True,True,0.8,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.250357150509063,-2.7579252342914806,-2.504141192400272,0.25378404189120873,259,-0.21664442289937041,-0.2729871257863032,-0.2448157743428368,0.028171351443466386
9,183.7972561120987,11.080552697181702,9.26960039138794,0.2523765563964844,1,auto,True,True,0.8,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.936741578967418,-2.2662718320128414,-2.10150670549013,0.1647651265227117,93,-0.29477041707899276,-0.18720355968486607,-0.24098698838192942,0.053783428697063346
10,232.74097633361816,4.9767067432403564,13.690318822860718,0.8846049308776855,1,auto,True,True,0.8,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.9424046056183015,-2.2087932479883747,-2.0755989268033384,0.1331943211850366,69,-0.2579456756430731,-0.20947430629205077,-0.23370999096756193,0.024235684675511154
11,133.52374839782715,26.331555604934692,11.318611741065979,0.29696857929229736,1,auto,True,True,0.8,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.3010018582678176,-2.047006457374849,-2.1740041578213334,0.12699770044648417,151,-0.15076842827767417,-0.07969295372802206,-0.1152306910028481,0.03553773727482606
12,235.2650283575058,2.6762346029281616,6.647633194923401,0.6787086725234985,1,auto,True,False,1.0,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.0394981772174194,-2.1365131933213606,-2.08800568526939,0.048507508051970565,81,-0.28744531927286376,-0.21209985773507506,-0.2497725885039694,0.03767273076889435
13,533.0672944784164,15.784064650535583,16.444807767868042,2.4091732501983643,1,auto,True,False,1.0,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.8506934188582715,-2.3326059855111616,-2.0916497021847165,0.24095628332644503,83,-0.2931333842234171,-0.24600979827608396,-0.26957159124975055,0.023561792973666576
14,698.8125659227371,5.994784474372864,6.676809906959534,0.3808063268661499,1,auto,True,False,1.0,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.2079890088954697,-2.8051708005915086,-2.506579904743489,0.29859089584801946,261,-0.20924552218422088,-0.28011189257524,-0.24467870737973044,0.03543318519550956
15,176.8089348077774,12.2831209897995,8.52306318283081,0.47322773933410645,1,auto,True,False,1.0,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.9859976542008126,-2.2302612070114662,-2.1081294306061396,0.1221317764053268,103,-0.29386567297957616,-0.2220479835881899,-0.257956828283883,0.03590884469569314
16,231.02302622795105,5.554269075393677,11.413274645805359,0.06962740421295166,1,auto,True,False,1.0,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.8973177987138947,-2.292132559556207,-2.0947251791350507,0.19740738042115624,87,-0.2725100450617103,-0.22772596903031958,-0.25011800704601495,0.02239203801569535
17,161.85035288333893,15.88889753818512,9.509137749671936,0.9211441278457642,1,auto,True,False,1.0,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.2673462197718877,-2.067204163990231,-2.1672751918810595,0.10007102789082833,149,-0.1403529180288711,-0.0802906843949156,-0.11032180121189335,0.030031116816977746
18,224.49415516853333,1.1115319728851318,4.934925079345703,0.1300652027130127,1,auto,True,False,0.8,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.0394981772174194,-2.1365131933213606,-2.08800568526939,0.048507508051970565,81,-0.28744531927286376,-0.21209985773507506,-0.2497725885039694,0.03767273076889435
19,469.3330842256546,16.269500374794006,10.311138272285461,0.2081235647201538,1,auto,True,False,0.8,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.8506934188582715,-2.3326059855111616,-2.0916497021847165,0.24095628332644503,83,-0.2931333842234171,-0.24600979827608396,-0.26957159124975055,0.023561792973666576
20,637.6184896230698,7.2204025983810425,7.984578728675842,0.05466616153717041,1,auto,True,False,0.8,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.2079890088954697,-2.8051708005915086,-2.506579904743489,0.29859089584801946,261,-0.20924552218422088,-0.28011189257524,-0.24467870737973044,0.03543318519550956
21,177.4542269706726,2.7532997131347656,6.53710150718689,0.4806046485900879,1,auto,True,False,0.8,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.9859976542008126,-2.2302612070114662,-2.1081294306061396,0.1221317764053268,103,-0.29386567297957616,-0.2220479835881899,-0.257956828283883,0.03590884469569314
